                                 Open        High         Low       Close  \
Datetime                                                                    
2024-10-17 02:01:00+01:00  172.725006  172.740005  172.707993  172.720993   
2024-10-17 02:02:00+01:00  172.722000  172.738007  172.712006  172.733994   
2024-10-17 02:03:00+01:00  172.716003  172.723999  172.697006  172.723999   
2024-10-17 02:04:00+01:00  172.718994  172.718994  172.697998  172.707993   
2024-10-17 02:05:00+01:00  172.707001  172.709000  172.660995  172.666000   
2024-10-17 02:06:00+01:00  172.673996  172.675003  172.654007  172.667007   
2024-10-17 02:07:00+01:00  172.664001  172.671005  172.636002  172.647995   
2024-10-17 02:08:00+01:00  172.647995  172.666000  172.636993  172.656998   
2024-10-17 02:09:00+01:00  172.658005  172.669998  172.636993  172.651001   
2024-10-17 02:10:00+01:00  172.654007  172.658997  172.634003  172.654007   
2024-10-17 02:11:00+01:00  172.651001  172.684006  172.651001  172.671005   
2024-10-17 02:12:00+01:00  172.669998  172.679001  172.654999  172.679001   
2024-10-17 02:13:00+01:00  172.675003  172.679001  172.639999  172.643005   
2024-10-17 02:14:00+01:00  172.643005  172.654999  172.632004  172.645996   
2024-10-17 02:15:00+01:00  172.645004  172.647003  172.610001  172.626999   
2024-10-17 02:16:00+01:00  172.623001  172.634995  172.598007  172.604004   
2024-10-17 02:17:00+01:00  172.606003  172.617996  172.572006  172.585999   
2024-10-17 02:18:00+01:00  172.589005  172.604996  172.576004  172.600006   
2024-10-17 02:19:00+01:00  172.598007  172.604004  172.576996  172.585999   
2024-10-17 02:20:00+01:00  172.582001  172.595993  172.556000  172.561996   
2024-10-17 02:21:00+01:00  172.559998  172.563995  172.541000  172.563995   
2024-10-17 02:22:00+01:00  172.561996  172.580994  172.554001  172.561996   
2024-10-17 02:23:00+01:00  172.570007  172.572006  172.542007  172.548004   
2024-10-17 02:24:00+01:00  172.546997  172.570007  172.537003  172.565002   
2024-10-17 02:25:00+01:00  172.565002  172.567001  172.544998  172.544998   
2024-10-17 02:26:00+01:00  172.544998  172.563995  172.542007  172.559006   
2024-10-17 02:27:00+01:00  172.554001  172.565994  172.542007  172.548996   
2024-10-17 02:28:00+01:00  172.550003  172.559998  172.544006  172.552994   
2024-10-17 02:29:00+01:00  172.552002  172.557007  172.535995  172.539993   
2024-10-17 02:30:00+01:00  172.539001  172.542999  172.488998  172.490997   
2024-10-17 02:31:00+01:00  172.496002  172.503006  172.475998  172.498001   
2024-10-17 02:32:00+01:00  172.494003  172.518997  172.485001  172.514999   
2024-10-17 02:33:00+01:00  172.513000  172.529007  172.505997  172.518997   
2024-10-17 02:34:00+01:00  172.513000  172.518997  172.483002  172.492004   
2024-10-17 02:35:00+01:00  172.496994  172.501999  172.477005  172.485001   
2024-10-17 02:36:00+01:00  172.485001  172.501999  172.472000  172.490997   
2024-10-17 02:37:00+01:00  172.492004  172.520004  172.483002  172.492996   
2024-10-17 02:38:00+01:00  172.496002  172.509003  172.468994  172.492996   
2024-10-17 02:39:00+01:00  172.490005  172.539001  172.490005  172.526001   
2024-10-17 02:40:00+01:00  172.520996  172.535004  172.500000  172.531998   
2024-10-17 02:41:00+01:00  172.533997  172.537994  172.520996  172.533997   
2024-10-17 02:42:00+01:00  172.529007  172.531998  172.507996  172.511993   
2024-10-17 02:43:00+01:00  172.514999  172.544006  172.501999  172.531998   
2024-10-17 02:44:00+01:00  172.533005  172.556000  172.522995  172.550003   
2024-10-17 02:45:00+01:00  172.544006  172.550003  172.522995  172.524994   
